event_id,truth_class,component_id,area_km2,preclip_area_km2,domain_status,retained_at_15000,centroid_lon,centroid_lat,min_lon,min_lat,max_lon,max_lat,artifact_method
20260403_21Z_F04,Sparse,1,0.0,8574.35964629595,outside,False,-99.98483692314713,24.284016393445988,-100.42000084513805,23.720000000003274,-99.57000086942773,24.870000000003458,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,2,0.0,5084.689075590475,outside,False,-101.85537314454625,28.812819148940235,-102.22000079370108,28.42000000000401,-101.47000081513315,29.220000000004134,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,3,8946.732255560984,8946.732255560984,inside,False,-99.04471018676405,32.665203488376534,-99.57000086942773,32.12000000000455,-98.47000090086144,33.170000000004336,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,4,16117.226495269877,16117.226495269877,inside,True,-98.53575325007968,35.18708463950239,-99.47000087228534,34.520000000004075,-97.67000092372231,35.920000000003796,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,5,83208.29175778075,83208.29175778075,inside,True,-94.43087551940722,40.190201590008655,-96.32000096230004,36.020000000003776,-92.6700010666028,43.420000000002304,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,6,1293.0631195683873,1293.063119568387,inside,False,-93.09900105434367,33.140000000004356,-93.37000104659953,33.02000000000437,-92.82000106231638,33.270000000004316,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,7,7722.842939553536,7722.842939553538,inside,False,-93.27861928282913,44.74371794872,-93.82000103374028,44.27000000000213,-92.72000106517399,45.220000000001946,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,8,34906.158425970585,34906.158425970614,inside,True,-89.18564073978979,41.289870086611636,-90.27000113518542,40.02000000000298,-87.97000120091045,42.870000000002406,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,9,43771.96720001825,43771.96720001828,inside,True,-90.57172570499964,43.758771078183095,-92.77000106374518,42.770000000002426,-88.02000119948164,44.77000000000203,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,10,455.5597170118319,455.5597170118319,inside,False,-85.85552757712333,39.19500000000314,-85.97000125806264,39.07000000000316,-85.72000126520666,39.32000000000312,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,11,6990.516030913971,6990.51603091397,inside,False,-85.25670696406459,40.94148829431716,-85.82000126234905,40.470000000002884,-84.72000129378276,41.370000000002705,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,12,9420.31116151638,9420.311161516382,inside,False,-84.37146369928571,31.81784122563123,-84.87000128949634,31.320000000004462,-83.77000132093005,32.470000000004475,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,13,2008.748301643226,2008.7483016432263,inside,False,-83.19694938925367,32.374220779225276,-83.42000133093168,32.12000000000455,-82.97000134379093,32.670000000004435,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,14,15511.360025065094,15511.36002506509,inside,True,-82.15296798322352,40.46632018209696,-83.2700013352181,40.02000000000298,-81.07000139808551,40.970000000002784,legacy independent-max frozen truth
20260403_21Z_F04,Sparse,15,1912.1788870057158,1912.178887005716,inside,False,-83.80179144347842,40.30302469136095,-84.270001306642,40.12000000000296,-83.47000132950288,40.470000000002884,legacy independent-max frozen truth
20260403_21Z_F04,Medium,1,2080.8924340304675,2080.892434030467,inside,False,-99.09437588301921,32.678750000004435,-99.37000087514295,32.42000000000449,-98.7700008922886,32.870000000004396,legacy independent-max frozen truth
20260403_21Z_F04,Medium,2,4968.312539830636,4968.31253983064,inside,False,-98.34322425473802,35.3249492385826,-98.8200008908598,34.920000000003995,-97.8700009180071,35.720000000003836,legacy independent-max frozen truth
20260403_21Z_F04,Medium,3,4329.188023646845,4329.188023646845,inside,False,-95.65969024670582,37.73680790960795,-95.97000097230168,37.22000000000354,-95.37000098944733,38.22000000000334,legacy independent-max frozen truth
20260403_21Z_F04,Medium,4,1740.510206940058,1740.5102069400582,inside,False,-95.2552749653285,39.59842465753731,-95.52000098516092,39.32000000000312,-94.92000100230658,39.82000000000302,legacy independent-max frozen truth
20260403_21Z_F04,Medium,5,30651.512944817474,30651.512944817478,inside,True,-93.67654820765091,41.63564150943662,-94.42000101659463,39.72000000000304,-92.82000106231638,43.220000000002344,legacy independent-max frozen truth
20260403_21Z_F04,Medium,6,11097.277117670305,11097.277117670312,inside,False,-91.82212659690461,43.51099190283629,-92.5700010694604,42.9200000000024,-91.02000111375335,44.020000000002184,legacy independent-max frozen truth
20260403_21Z_F04,Medium,7,1561.5463125875287,1561.5463125875287,inside,False,-93.25626865548332,44.76683098591753,-93.47000104374192,44.47000000000209,-93.07000105517236,45.07000000000197,legacy independent-max frozen truth
20260403_21Z_F04,Medium,8,7799.761190504656,7799.761190504658,inside,False,-89.49831441024928,40.61186746988236,-90.12000113947184,40.17000000000294,-88.87000117519196,41.070000000002764,legacy independent-max frozen truth
20260403_21Z_F04,Medium,9,7944.319546892428,7944.319546892427,inside,False,-89.95592551390837,44.07063025210302,-90.67000112375499,43.57000000000227,-89.37000116090391,44.620000000002065,legacy independent-max frozen truth
