event_id,source_feature_number,feat_type,coverage_code,threshold_km2,verification_fraction,category,artifact_method,current_15000_fraction,fraction_difference_from_15000,current_15000_category,category_changed_from_15000
20260728_19Z_F04,2,AREA,3,5000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,3,AREA,3,5000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,4,AREA,3,5000,0.2568179076275809,Verified Close,legacy independent-max frozen truth,0.19927433050185256,0.05754357712572833,Overforecasted,True
20260728_19Z_F04,5,AREA,3,5000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,6,AREA,3,5000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,7,AREA,3,5000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,8,AREA,2,5000,0.1666897763604845,Overforecasted,legacy independent-max frozen truth,0.0,0.1666897763604845,Overforecasted,False
20260728_19Z_F04,9,AREA,3,5000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260728_19Z_F04,10,AREA,3,5000,0.37289195341227993,Verified Close,legacy independent-max frozen truth,0.3183168524521935,0.05457510096008644,Verified Close,False
20260728_19Z_F04,11,AREA,2,5000,0.5274023349958138,Verified Well,legacy independent-max frozen truth,0.5274023349958138,0.0,Verified Well,False
20260728_19Z_F04,12,AREA,3,5000,0.3649333422057369,Verified Close,legacy independent-max frozen truth,0.3649333422057369,0.0,Verified Close,False
20260728_19Z_F04,13,AREA,2,5000,0.1526686534308502,Overforecasted,legacy independent-max frozen truth,0.0,0.1526686534308502,Overforecasted,False
20260324_13Z_F04,1,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,1,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,2,AREA,2,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,3,AREA,3,10000,0.40834089193700784,Verified Close,legacy independent-max frozen truth,0.40834089193700784,0.0,Verified Close,False
20260403_21Z_F04,4,AREA,3,10000,0.7206270320271837,Verified Well,legacy independent-max frozen truth,0.7206270320271837,0.0,Verified Well,False
20260403_21Z_F04,5,AREA,3,10000,0.25917103850122736,Verified Close,legacy independent-max frozen truth,0.25917103850122736,0.0,Verified Close,False
20260403_21Z_F04,6,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260403_21Z_F04,7,LINE,1,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_13Z_F04,1,AREA,3,10000,0.46338490562498713,Verified Close,legacy independent-max frozen truth,0.46338490562498713,0.0,Verified Close,False
20260524_13Z_F04,2,AREA,3,10000,0.06282626539999075,Overforecasted,legacy independent-max frozen truth,0.06282626539999075,0.0,Overforecasted,False
20260524_13Z_F04,3,AREA,3,10000,0.0585875242931264,Overforecasted,legacy independent-max frozen truth,0.0585875242931264,0.0,Overforecasted,False
20260524_13Z_F04,4,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_13Z_F04,5,AREA,3,10000,0.14512105445762769,Overforecasted,legacy independent-max frozen truth,0.0,0.14512105445762769,Overforecasted,False
20260524_13Z_F04,6,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,1,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,2,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,3,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,4,AREA,3,10000,0.6988120778071458,Verified Well,legacy independent-max frozen truth,0.6988120778071458,0.0,Verified Well,False
20260524_19Z_F04,5,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,6,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,7,AREA,3,10000,0.0,Overforecasted,legacy independent-max frozen truth,0.0,0.0,Overforecasted,False
20260524_19Z_F04,8,AREA,3,10000,0.5713308601385887,Verified Well,legacy independent-max frozen truth,0.5713308601385887,0.0,Verified Well,False
20260524_19Z_F04,9,AREA,3,10000,0.5799726150500096,Verified Well,legacy independent-max frozen truth,0.5799726150500096,0.0,Verified Well,False
