event_id,source_feature_number,report_feature_number,feat_type,coverage_code,geometry_type,full_area_km2,in_domain_area_km2,in_domain_fraction,out_of_domain_fraction,current_fraction,in_domain_denominator_fraction,fraction_difference,current_category,candidate_category,min_lon,min_lat,max_lon,max_lat,artifact_method
20260524_19Z_F06,1,7,AREA,3,Polygon,13422.83592132734,13422.83592132734,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-99.1,28.0,-97.1,29.6,legacy independent-max frozen truth
20260524_19Z_F06,2,6,AREA,3,Polygon,13579.717212810852,13579.717212810849,0.9999999999999997,3.3306690738754696e-16,0.45091251693566897,0.45091251693566914,1.6653345369377348e-16,Verified Close,Verified Close,-96.4,43.7,-94.5,45.3,legacy independent-max frozen truth
20260524_19Z_F06,3,8,AREA,3,Polygon,17653.968685308486,17653.968685308486,1.0,0.0,0.7169109255569839,0.7169109255569839,0.0,Verified Well,Verified Well,-99.4,31.3,-97.6,33.3,legacy independent-max frozen truth
20260524_19Z_F06,4,5,AREA,3,Polygon,9821.541293867253,9821.541293867253,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-90.9,31.2,-89.1,32.6,legacy independent-max frozen truth
20260524_19Z_F06,5,4,AREA,3,Polygon,9576.478264927116,8832.197590652253,0.9222803358724556,0.07771966412754439,0.0,0.0,0.0,Overforecasted,Overforecasted,-90.0,28.2,-88.3,28.9,legacy independent-max frozen truth
20260524_19Z_F06,6,3,AREA,3,Polygon,61967.850282690895,61967.85028269089,0.9999999999999999,1.1102230246251565e-16,0.4870774269777436,0.48707742697774364,5.551115123125783e-17,Verified Close,Verified Close,-83.5,29.4,-81.9,35.3,legacy independent-max frozen truth
20260524_19Z_F06,7,2,AREA,3,Polygon,16986.506922694036,16986.506922694032,0.9999999999999998,2.220446049250313e-16,0.0,0.0,0.0,Overforecasted,Overforecasted,-82.9,26.3,-81.6,29.0,legacy independent-max frozen truth
20260524_19Z_F06,8,1,AREA,3,Polygon,26773.109975879717,26773.109975879717,1.0,0.0,0.672231814818841,0.672231814818841,0.0,Verified Well,Verified Well,-81.5,37.3,-79.4,40.3,legacy independent-max frozen truth
20260524_19Z_F06,9,9,AREA,3,Polygon,13206.898133671953,13206.898133671953,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-101.0,36.3,-99.3,38.1,legacy independent-max frozen truth
20260728_19Z_F04,1,11,AREA,3,Polygon,24416.990915663446,24415.882608632353,0.9999546091885393,4.5390811460710445e-05,0.0,0.0,0.0,Overforecasted,Overforecasted,-110.8,39.3,-108.8,41.4,legacy independent-max frozen truth
20260728_19Z_F04,2,12,AREA,3,Polygon,8216.605238345353,8216.605238345353,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-110.7,44.9,-109.4,46.0,legacy independent-max frozen truth
20260728_19Z_F04,3,13,AREA,3,Polygon,13828.326425579797,13828.326425579797,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-114.3,41.6,-112.7,43.0,legacy independent-max frozen truth
20260728_19Z_F04,4,9,AREA,3,Polygon,325446.6749069042,325388.80679267034,0.9998221886450355,0.00017781135496452993,0.19927433050185256,0.19930977004212141,3.543954026885565e-05,Overforecasted,Overforecasted,-112.6,33.4,-101.0,43.1,legacy independent-max frozen truth
20260728_19Z_F04,5,10,AREA,3,Polygon,40740.6543257991,40740.6543257991,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-108.5,36.9,-106.0,39.4,legacy independent-max frozen truth
20260728_19Z_F04,6,7,AREA,3,Polygon,43470.39087636653,43470.39087636652,0.9999999999999997,3.3306690738754696e-16,0.0,0.0,0.0,Overforecasted,Overforecasted,-93.8,35.5,-90.5,37.5,legacy independent-max frozen truth
20260728_19Z_F04,7,3,AREA,3,Polygon,13725.466535203335,13725.466535203333,0.9999999999999999,1.1102230246251565e-16,0.0,0.0,0.0,Overforecasted,Overforecasted,-80.7,26.3,-79.5,28.2,legacy independent-max frozen truth
20260728_19Z_F04,8,8,AREA,2,Polygon,14792.476449683738,14792.476449683738,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-104.4,40.0,-102.7,41.6,legacy independent-max frozen truth
20260728_19Z_F04,9,4,AREA,3,Polygon,5088.902687903625,5088.902687903625,1.0,0.0,0.0,0.0,0.0,Overforecasted,Overforecasted,-81.4,27.2,-80.5,27.9,legacy independent-max frozen truth
20260728_19Z_F04,10,1,AREA,3,Polygon,240533.5160902508,240532.60810406928,0.9999962251157498,3.7748842501850177e-06,0.31831685245219354,0.3183180540660024,1.201613808843316e-06,Verified Close,Verified Close,-79.1,37.6,-70.8,48.0,legacy independent-max frozen truth
20260728_19Z_F04,11,2,AREA,2,Polygon,24592.763481785223,24592.76348178522,0.9999999999999999,1.1102230246251565e-16,0.5274023349958138,0.5274023349958139,1.1102230246251565e-16,Verified Well,Verified Well,-77.2,37.9,-73.9,40.8,legacy independent-max frozen truth
20260728_19Z_F04,12,5,AREA,3,Polygon,88988.40049835185,88988.40049835187,1.0,0.0,0.3649333422057369,0.3649333422057369,0.0,Verified Close,Verified Close,-84.8,34.6,-78.4,36.5,legacy independent-max frozen truth
20260728_19Z_F04,13,6,AREA,2,Polygon,35505.96268575071,35505.9626857507,0.9999999999999998,2.220446049250313e-16,0.0,0.0,0.0,Overforecasted,Overforecasted,-83.7,34.9,-79.1,36.0,legacy independent-max frozen truth
