event_id,component_id,truth_class,area_km2,preclip_area_km2,domain_status,retained_at_15000,capture_fraction,current_miss,sparse_area_capture,medium_area_capture,solid_line_capture,sparse_area_unique_capture,medium_area_unique_capture,solid_line_unique_capture,retained_medium_core_fraction,nearest_forecast_class,nearest_forecast_distance_km,artccs,min_lon,min_lat,max_lon,max_lat,artifact_method,report_label
20260403_21Z_F04,3,Sparse,8946.732255560984,8946.732255560984,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,53.891114893467176,ZFW,-99.57000086942773,32.12000000000455,-98.47000090086144,33.170000000004336,legacy independent-max frozen truth,
20260403_21Z_F04,4,Sparse,16117.226495269877,16117.226495269877,inside,True,1.0000000000000002,False,1.0000000000000002,0.5195883186944315,0.026783390411764148,0.48041168130556877,0.0,0.0,0.0,Sparse AREA,0.0,ZFW/ZKC,-99.47000087228534,34.520000000004075,-97.67000092372231,35.920000000003796,legacy independent-max frozen truth,
20260403_21Z_F04,5,Sparse,83208.29175778075,83208.29175778075,inside,True,0.7977642376099027,False,0.7977642376099027,0.15186093061069542,0.05837245264039042,0.6459033069992073,0.0,0.0,0.3683708954636877,Sparse AREA,0.0,ZAU/ZKC/ZMP,-96.32000096230004,36.020000000003776,-92.6700010666028,43.420000000002304,legacy independent-max frozen truth,
20260403_21Z_F04,6,Sparse,1293.0631195683873,1293.063119568387,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,270.2567154076248,ZFW,-93.37000104659953,33.02000000000437,-92.82000106231638,33.270000000004316,legacy independent-max frozen truth,
20260403_21Z_F04,7,Sparse,7722.842939553536,7722.842939553538,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,61.36292197170888,ZMP,-93.82000103374028,44.27000000000213,-92.72000106517399,45.220000000001946,legacy independent-max frozen truth,
20260403_21Z_F04,8,Sparse,34906.158425970585,34906.158425970614,inside,True,0.5253872137248238,False,0.5253872137248238,0.0,0.0,0.5253872137248238,0.0,0.0,0.0,Sparse AREA,0.0,ZAU/ZKC,-90.27000113518542,40.02000000000298,-87.97000120091045,42.870000000002406,legacy independent-max frozen truth,
20260403_21Z_F04,9,Sparse,43771.96720001825,43771.96720001828,inside,True,0.5078806184724846,False,0.5078806184724846,0.0,0.0,0.5078806184724846,0.0,0.0,0.0,Sparse AREA,0.0,ZAU/ZMP,-92.77000106374518,42.770000000002426,-88.02000119948164,44.77000000000203,legacy independent-max frozen truth,
20260403_21Z_F04,10,Sparse,455.5597170118319,455.5597170118319,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,194.272009305167,ZID,-85.97000125806264,39.07000000000316,-85.72000126520666,39.32000000000312,legacy independent-max frozen truth,
20260403_21Z_F04,11,Sparse,6990.516030913971,6990.51603091397,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,159.94729334545391,ZAU/ZID,-85.82000126234905,40.470000000002884,-84.72000129378276,41.370000000002705,legacy independent-max frozen truth,
20260403_21Z_F04,12,Sparse,9420.31116151638,9420.311161516382,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,97.22391911245617,ZJX/ZTL,-84.87000128949634,31.320000000004462,-83.77000132093005,32.470000000004475,legacy independent-max frozen truth,
20260403_21Z_F04,13,Sparse,2008.748301643226,2008.7483016432263,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,158.01457112528007,ZTL,-83.42000133093168,32.12000000000455,-82.97000134379093,32.670000000004435,legacy independent-max frozen truth,
20260403_21Z_F04,14,Sparse,15511.360025065094,15511.36002506509,inside,True,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,363.92421748527056,ZID/ZOB,-83.2700013352181,40.02000000000298,-81.07000139808551,40.970000000002784,legacy independent-max frozen truth,ZID/ZOB - Missed (Area M1)
20260403_21Z_F04,15,Sparse,1912.1788870057158,1912.178887005716,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,280.8938154564318,ZID,-84.270001306642,40.12000000000296,-83.47000132950288,40.470000000002884,legacy independent-max frozen truth,
20260524_13Z_F04,2,Sparse,4504.961734434065,9930.166024342328,crossing,False,0.6716462788109041,False,0.6716462788109041,0.0,0.0,0.6716462788109041,0.0,0.0,0.0,Sparse AREA,0.0,ZHU,-95.12000099659136,27.552037376781627,-94.07000102659626,28.42000000000401,legacy independent-max frozen truth,
20260524_13Z_F04,3,Sparse,9676.608676973648,9774.518144161959,crossing,False,0.816605926479639,False,0.816605926479639,0.0,0.0,0.816605926479639,0.0,0.0,0.0,Sparse AREA,0.0,ZHU,-92.6200010680316,28.250004977978808,-90.97000111518216,29.220000000004134,legacy independent-max frozen truth,
20260524_13Z_F04,4,Sparse,19697.69880307245,19697.698803072442,inside,True,0.4031180067684496,False,0.4031180067684496,0.0,0.0,0.4031180067684496,0.0,0.0,0.0,Sparse AREA,0.0,ZTL,-87.67000120948327,32.22000000000453,-85.82000126234905,33.920000000004194,legacy independent-max frozen truth,
20260524_13Z_F04,5,Sparse,19102.17383127363,19102.17383127362,inside,True,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,47.52915979562056,ZID/ZME/ZTL,-86.320001248061,34.67000000000404,-84.92000128806754,36.67000000000364,legacy independent-max frozen truth,ZID/ZME/ZTL - Missed (Area M3)
20260524_13Z_F04,6,Sparse,2685.9011887618717,2685.9011887618717,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,311.83140941428906,ZID,-85.17000128092351,36.8700000000036,-84.62000129664037,37.47000000000348,legacy independent-max frozen truth,
20260524_13Z_F04,7,Sparse,2199.434682276108,2199.4346822761067,inside,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sparse AREA,345.46137697721923,ZID,-85.62000126806427,37.4200000000035,-84.82000129092515,38.02000000000338,legacy independent-max frozen truth,
